CustomerId;CustomerName;FirstName;LastName;ShipMode;Segment;Country;City;quantityOfOrderslast5days;quantityOfOrderslast15days;quantityOfOrderslast30days;ingestionDate;loadingTime;filename
CG-12520;Claire Gute;Claire;Gute;Second Class;Consumer;United States;Henderson;;;;2022-06-21;04:41:50;train.csv
CG-12520;Claire Gute;Claire;Gute;Second Class;Consumer;United States;Henderson;;;;2022-06-21;04:41:50;train.csv
DV-13045;Darrin Van Huff;Darrin;Van Huff;Second Class;Corporate;United States;Los Angeles;;;;2022-06-21;04:41:50;train.csv
SO-20335;Sean O'Donnell;Sean;O'Donnell;Standard Class;Consumer;United States;Fort Lauderdale;1.0;1.0;1.0;2022-06-21;04:41:50;train.csv
SO-20335;Sean O'Donnell;Sean;O'Donnell;Standard Class;Consumer;United States;Fort Lauderdale;1.0;1.0;1.0;2022-06-21;04:41:50;train.csv
BH-11710;Brosina Hoffman;Brosina;Hoffman;Standard Class;Consumer;United States;Los Angeles;;;;2022-06-21;04:41:50;train.csv
BH-11710;Brosina Hoffman;Brosina;Hoffman;Standard Class;Consumer;United States;Los Angeles;;;;2022-06-21;04:41:50;train.csv
BH-11710;Brosina Hoffman;Brosina;Hoffman;Standard Class;Consumer;United States;Los Angeles;;;;2022-06-21;04:41:50;train.csv
BH-11710;Brosina Hoffman;Brosina;Hoffman;Standard Class;Consumer;United States;Los Angeles;;;;2022-06-21;04:41:50;train.csv
BH-11710;Brosina Hoffman;Brosina;Hoffman;Standard Class;Consumer;United States;Los Angeles;;;;2022-06-21;04:41:50;train.csv
BH-11710;Brosina Hoffman;Brosina;Hoffman;Standard Class;Consumer;United States;Los Angeles;;;;2022-06-21;04:41:50;train.csv
BH-11710;Brosina Hoffman;Brosina;Hoffman;Standard Class;Consumer;United States;Los Angeles;;;;2022-06-21;04:41:50;train.csv
AA-10480;Andrew Allen;Andrew;Allen;Standard Class;Consumer;United States;Concord;;;;2022-06-21;04:41:50;train.csv
IM-15070;Irene Maddox;Irene;Maddox;Standard Class;Consumer;United States;Seattle;;;;2022-06-21;04:41:50;train.csv
HP-14815;Harold Pawlan;Harold;Pawlan;Standard Class;Home Office;United States;Fort Worth;;;;2022-06-21;04:41:50;train.csv
HP-14815;Harold Pawlan;Harold;Pawlan;Standard Class;Home Office;United States;Fort Worth;;;;2022-06-21;04:41:50;train.csv
PK-19075;Pete Kriz;Pete;Kriz;Standard Class;Consumer;United States;Madison;;;1.0;2022-06-21;04:41:50;train.csv
AG-10270;Alejandro Grove;Alejandro;Grove;Second Class;Consumer;United States;West Jordan;;;;2022-06-21;04:41:50;train.csv
ZD-21925;Zuschuss Donatelli;Zuschuss;Donatelli;Second Class;Consumer;United States;San Francisco;;;;2022-06-21;04:41:50;train.csv
ZD-21925;Zuschuss Donatelli;Zuschuss;Donatelli;Second Class;Consumer;United States;San Francisco;;;;2022-06-21;04:41:50;train.csv
ZD-21925;Zuschuss Donatelli;Zuschuss;Donatelli;Second Class;Consumer;United States;San Francisco;;;;2022-06-21;04:41:50;train.csv
KB-16585;Ken Black;Ken;Black;Standard Class;Corporate;United States;Fremont;;;;2022-06-21;04:41:50;train.csv
KB-16585;Ken Black;Ken;Black;Standard Class;Corporate;United States;Fremont;;;;2022-06-21;04:41:50;train.csv
SF-20065;Sandra Flanagan;Sandra;Flanagan;Second Class;Consumer;United States;Philadelphia;;;;2022-06-21;04:41:50;train.csv
EB-13870;Emily Burns;Emily;Burns;Standard Class;Consumer;United States;Orem;;;;2022-06-21;04:41:50;train.csv
EH-13945;Eric Hoffmann;Eric;Hoffmann;Second Class;Consumer;United States;Los Angeles;;;;2022-06-21;04:41:50;train.csv
EH-13945;Eric Hoffmann;Eric;Hoffmann;Second Class;Consumer;United States;Los Angeles;;;;2022-06-21;04:41:50;train.csv
TB-21520;Tracy Blumstein;Tracy;Blumstein;Standard Class;Consumer;United States;Philadelphia;;;;2022-06-21;04:41:50;train.csv
TB-21520;Tracy Blumstein;Tracy;Blumstein;Standard Class;Consumer;United States;Philadelphia;;;;2022-06-21;04:41:50;train.csv
TB-21520;Tracy Blumstein;Tracy;Blumstein;Standard Class;Consumer;United States;Philadelphia;;;;2022-06-21;04:41:50;train.csv
TB-21520;Tracy Blumstein;Tracy;Blumstein;Standard Class;Consumer;United States;Philadelphia;;;;2022-06-21;04:41:50;train.csv
TB-21520;Tracy Blumstein;Tracy;Blumstein;Standard Class;Consumer;United States;Philadelphia;;;;2022-06-21;04:41:50;train.csv
TB-21520;Tracy Blumstein;Tracy;Blumstein;Standard Class;Consumer;United States;Philadelphia;;;;2022-06-21;04:41:50;train.csv
TB-21520;Tracy Blumstein;Tracy;Blumstein;Standard Class;Consumer;United States;Philadelphia;;;;2022-06-21;04:41:50;train.csv
MA-17560;Matt Abelman;Matt;Abelman;Second Class;Home Office;United States;Houston;;;;2022-06-21;04:41:50;train.csv
GH-14485;Gene Hale;Gene;Hale;First Class;Corporate;United States;Richardson;;;;2022-06-21;04:41:50;train.csv
GH-14485;Gene Hale;Gene;Hale;First Class;Corporate;United States;Richardson;;;;2022-06-21;04:41:50;train.csv
SN-20710;Steve Nguyen;Steve;Nguyen;Standard Class;Home Office;United States;Houston;;;;2022-06-21;04:41:50;train.csv
SN-20710;Steve Nguyen;Steve;Nguyen;Standard Class;Home Office;United States;Houston;;;;2022-06-21;04:41:50;train.csv
SN-20710;Steve Nguyen;Steve;Nguyen;Standard Class;Home Office;United States;Houston;;;;2022-06-21;04:41:50;train.csv
SN-20710;Steve Nguyen;Steve;Nguyen;Standard Class;Home Office;United States;Houston;;;;2022-06-21;04:41:50;train.csv
LC-16930;Linda Cazamias;Linda;Cazamias;Standard Class;Corporate;United States;Naperville;;;;2022-06-21;04:41:50;train.csv
RA-19885;Ruben Ausman;Ruben;Ausman;Standard Class;Corporate;United States;Los Angeles;;;;2022-06-21;04:41:50;train.csv
ES-14080;Erin Smith;Erin;Smith;Standard Class;Corporate;United States;Melbourne;;;;2022-06-21;04:41:50;train.csv
ON-18715;Odella Nelson;Odella;Nelson;First Class;Corporate;United States;Eagan;;;;2022-06-21;04:41:50;train.csv
ON-18715;Odella Nelson;Odella;Nelson;First Class;Corporate;United States;Eagan;;;;2022-06-21;04:41:50;train.csv
PO-18865;Patrick O'Donnell;Patrick;O'Donnell;Second Class;Consumer;United States;Westland;;;;2022-06-21;04:41:50;train.csv
LH-16900;Lena Hernandez;Lena;Hernandez;Standard Class;Consumer;United States;Dover;;;;2022-06-21;04:41:50;train.csv
LH-16900;Lena Hernandez;Lena;Hernandez;Standard Class;Consumer;United States;Dover;;;;2022-06-21;04:41:50;train.csv
DP-13000;Darren Powers;Darren;Powers;Standard Class;Consumer;United States;New Albany;;1.0;1.0;2022-06-21;04:41:50;train.csv
DP-13000;Darren Powers;Darren;Powers;Standard Class;Consumer;United States;New Albany;;1.0;1.0;2022-06-21;04:41:50;train.csv
DP-13000;Darren Powers;Darren;Powers;Standard Class;Consumer;United States;New Albany;;1.0;1.0;2022-06-21;04:41:50;train.csv
DP-13000;Darren Powers;Darren;Powers;Standard Class;Consumer;United States;New Albany;;1.0;1.0;2022-06-21;04:41:50;train.csv
JM-15265;Janet Molinari;Janet;Molinari;Standard Class;Corporate;United States;New York City;;;;2022-06-21;04:41:50;train.csv
JM-15265;Janet Molinari;Janet;Molinari;Standard Class;Corporate;United States;New York City;;;;2022-06-21;04:41:50;train.csv
TB-21055;Ted Butterfield;Ted;Butterfield;First Class;Consumer;United States;Troy;;;;2022-06-21;04:41:50;train.csv
TB-21055;Ted Butterfield;Ted;Butterfield;First Class;Consumer;United States;Troy;;;;2022-06-21;04:41:50;train.csv
TB-21055;Ted Butterfield;Ted;Butterfield;First Class;Consumer;United States;Troy;;;;2022-06-21;04:41:50;train.csv
TB-21055;Ted Butterfield;Ted;Butterfield;First Class;Consumer;United States;Troy;;;;2022-06-21;04:41:50;train.csv
TB-21055;Ted Butterfield;Ted;Butterfield;First Class;Consumer;United States;Troy;;;;2022-06-21;04:41:50;train.csv
